,r1,r2,p1,p2,gesture
218,-16.0,-85.0,-86.0,-52.0,0.0
219,-16.0,-85.0,-86.0,-52.0,0.0
220,-17.0,-85.0,-87.0,-52.0,0.0
221,-17.0,-85.0,-87.0,-52.0,0.0
222,-17.0,-85.0,-87.0,-52.0,0.0
223,-17.0,-86.0,-87.0,-52.0,0.0
224,-16.0,-85.0,-87.0,-52.0,0.0
225,-17.0,-86.0,-87.0,-51.0,0.0
226,-17.0,-86.0,-87.0,-51.0,0.0
227,-17.0,-86.0,-87.0,-51.0,0.0
228,-17.0,-86.0,-87.0,-51.0,0.0
229,-17.0,-86.0,-87.0,-51.0,0.0
230,-17.0,-86.0,-88.0,-51.0,0.0
231,-17.0,-86.0,-88.0,-51.0,0.0
232,-17.0,-86.0,-88.0,-51.0,0.0
233,-17.0,-87.0,-88.0,-51.0,0.0
234,-17.0,-87.0,-88.0,-51.0,0.0
235,-17.0,-87.0,-88.0,-51.0,0.0
236,-17.0,-87.0,-88.0,-51.0,0.0
237,-17.0,-87.0,-88.0,-51.0,0.0
238,-17.0,-87.0,-89.0,-51.0,0.0
239,-17.0,-87.0,-89.0,-51.0,0.0
240,-17.0,-87.0,-89.0,-51.0,0.0
241,-17.0,-87.0,-89.0,-50.0,0.0
242,-17.0,-87.0,-89.0,-50.0,0.0
243,-17.0,-87.0,-89.0,-50.0,0.0
244,-17.0,-87.0,-89.0,-50.0,0.0
245,-17.0,-87.0,-89.0,-50.0,0.0
246,-17.0,-87.0,-89.0,-50.0,0.0
247,-17.0,-87.0,-89.0,-50.0,0.0
248,-17.0,-87.0,-89.0,-50.0,0.0
249,-17.0,-87.0,-89.0,-50.0,0.0
250,-18.0,-87.0,-89.0,-50.0,0.0
251,-18.0,-87.0,-89.0,-50.0,0.0
252,-18.0,-87.0,-89.0,-50.0,0.0
253,-18.0,-87.0,-89.0,-50.0,0.0
254,-18.0,-87.0,-89.0,-50.0,0.0
255,-18.0,-87.0,-89.0,-50.0,0.0
256,-18.0,-87.0,-89.0,-50.0,0.0
257,-18.0,-87.0,-89.0,-50.0,0.0
258,-18.0,-87.0,-89.0,-50.0,0.0
259,-17.0,-87.0,-89.0,-50.0,0.0
260,-17.0,-87.0,-89.0,-50.0,0.0
261,-17.0,-87.0,-89.0,-50.0,0.0
262,-17.0,-87.0,-89.0,-50.0,0.0
263,-17.0,-87.0,-89.0,-50.0,0.0
264,-17.0,-87.0,-89.0,-50.0,0.0
265,-17.0,-87.0,-89.0,-50.0,0.0
266,-17.0,-87.0,-89.0,-50.0,0.0
267,-17.0,-87.0,-89.0,-50.0,0.0
268,-17.0,-87.0,-89.0,-50.0,0.0
269,-18.0,-87.0,-89.0,-50.0,0.0
270,-17.0,-87.0,-89.0,-50.0,0.0
271,-17.0,-87.0,-89.0,-49.0,0.0
272,-17.0,-87.0,-89.0,-49.0,0.0
273,-17.0,-87.0,-89.0,-49.0,0.0
274,-17.0,-87.0,-89.0,-49.0,0.0
275,-17.0,-87.0,-89.0,-49.0,0.0
276,-17.0,-87.0,-89.0,-49.0,0.0
277,-17.0,-87.0,-89.0,-49.0,0.0
278,-17.0,-87.0,-89.0,-49.0,0.0
279,-17.0,-87.0,-89.0,-49.0,0.0
280,-17.0,-87.0,-89.0,-49.0,0.0
281,-17.0,-87.0,-89.0,-49.0,0.0
282,-17.0,-87.0,-89.0,-49.0,0.0
283,-17.0,-87.0,-89.0,-49.0,0.0
284,-17.0,-87.0,-89.0,-49.0,0.0
285,-17.0,-87.0,-89.0,-49.0,0.0
286,-17.0,-87.0,-89.0,-49.0,0.0
287,-17.0,-87.0,-89.0,-49.0,0.0
288,-17.0,-87.0,-89.0,-49.0,0.0
289,-17.0,-87.0,-89.0,-49.0,0.0
290,-17.0,-87.0,-89.0,-49.0,0.0
291,-17.0,-87.0,-89.0,-49.0,0.0
292,-17.0,-87.0,-89.0,-49.0,0.0
293,-17.0,-87.0,-89.0,-49.0,0.0
