,r1,r2,p1,p2,gesture
183,51.0,-37.0,-16.0,-4.0,0.0
184,49.0,-38.0,-18.0,-1.0,0.0
185,48.0,-38.0,-19.0,1.0,0.0
186,45.0,-40.0,-16.0,0.0,0.0
187,48.0,-39.0,-14.0,0.0,0.0
188,47.0,-37.0,-13.0,0.0,0.0
189,51.0,-37.0,-12.0,-1.0,0.0
190,54.0,-36.0,-13.0,0.0,0.0
191,55.0,-37.0,-14.0,2.0,0.0
192,53.0,-36.0,-21.0,3.0,0.0
193,48.0,-38.0,-18.0,2.0,0.0
194,47.0,-39.0,-17.0,1.0,0.0
195,52.0,-39.0,-17.0,1.0,0.0
196,54.0,-35.0,-17.0,1.0,0.0
197,57.0,-30.0,-19.0,3.0,0.0
198,55.0,-31.0,-19.0,4.0,0.0
199,53.0,-31.0,-12.0,1.0,0.0
200,51.0,-33.0,-13.0,0.0,0.0
201,55.0,-32.0,-12.0,2.0,0.0
202,54.0,-27.0,-14.0,11.0,0.0
203,51.0,-28.0,-22.0,11.0,0.0
204,54.0,-27.0,-22.0,9.0,0.0
205,56.0,-28.0,-21.0,10.0,0.0
206,55.0,-31.0,-23.0,11.0,0.0
207,55.0,-33.0,-25.0,11.0,0.0
208,59.0,-27.0,-26.0,12.0,0.0
209,58.0,-28.0,-26.0,11.0,0.0
210,58.0,-28.0,-25.0,11.0,0.0
211,60.0,-26.0,-24.0,11.0,0.0
212,61.0,-25.0,-23.0,11.0,0.0
213,60.0,-27.0,-25.0,9.0,0.0
214,60.0,-27.0,-24.0,10.0,0.0
215,60.0,-26.0,-21.0,11.0,0.0
216,60.0,-26.0,-21.0,10.0,0.0
217,60.0,-27.0,-20.0,9.0,0.0
218,61.0,-26.0,-18.0,9.0,0.0
219,65.0,-22.0,-16.0,7.0,0.0
220,69.0,-20.0,-14.0,6.0,0.0
221,70.0,-18.0,-13.0,6.0,0.0
222,70.0,-18.0,-12.0,7.0,0.0
223,70.0,-18.0,-13.0,7.0,0.0
224,71.0,-18.0,-13.0,8.0,0.0
225,71.0,-18.0,-13.0,8.0,0.0
226,71.0,-18.0,-13.0,8.0,0.0
227,71.0,-18.0,-13.0,9.0,0.0
228,70.0,-18.0,-12.0,9.0,0.0
229,69.0,-17.0,-11.0,9.0,0.0
230,67.0,-18.0,-10.0,10.0,0.0
231,65.0,-18.0,-8.0,10.0,0.0
232,62.0,-18.0,-4.0,10.0,0.0
233,62.0,-20.0,-5.0,8.0,0.0
234,61.0,-21.0,-4.0,6.0,0.0
235,58.0,-24.0,-5.0,7.0,0.0
236,58.0,-27.0,-7.0,6.0,0.0
237,55.0,-30.0,-10.0,4.0,0.0
238,55.0,-32.0,-13.0,3.0,0.0
239,53.0,-33.0,-17.0,6.0,0.0
240,56.0,-31.0,-14.0,4.0,0.0
241,54.0,-32.0,-13.0,4.0,0.0
242,54.0,-32.0,-13.0,5.0,0.0
243,53.0,-34.0,-14.0,5.0,0.0
244,55.0,-34.0,-13.0,5.0,0.0
245,54.0,-37.0,-13.0,8.0,0.0
246,54.0,-40.0,-14.0,11.0,0.0
247,55.0,-42.0,-15.0,11.0,0.0
248,54.0,-44.0,-19.0,7.0,0.0
249,50.0,-47.0,-24.0,1.0,0.0
250,47.0,-47.0,-25.0,-3.0,0.0
251,48.0,-46.0,-23.0,-1.0,0.0
252,49.0,-45.0,-22.0,1.0,0.0
253,50.0,-44.0,-21.0,4.0,0.0
254,50.0,-45.0,-22.0,4.0,0.0
255,49.0,-42.0,-23.0,-2.0,0.0
256,52.0,-38.0,-23.0,-3.0,0.0
257,49.0,-33.0,-19.0,-4.0,0.0
258,46.0,-36.0,-17.0,-2.0,0.0
259,46.0,-36.0,-17.0,-1.0,0.0
260,45.0,-36.0,-19.0,-1.0,0.0
261,43.0,-35.0,-18.0,0.0,0.0
262,43.0,-34.0,-21.0,2.0,0.0
263,46.0,-31.0,-24.0,1.0,0.0
264,45.0,-28.0,-22.0,0.0,0.0
265,43.0,-30.0,-22.0,-1.0,0.0
266,43.0,-30.0,-22.0,0.0,0.0
267,42.0,-30.0,-24.0,2.0,0.0
268,43.0,-29.0,-26.0,5.0,0.0
269,42.0,-31.0,-28.0,7.0,0.0
270,42.0,-33.0,-28.0,7.0,0.0
271,40.0,-33.0,-28.0,8.0,0.0
272,40.0,-32.0,-30.0,10.0,0.0
273,40.0,-32.0,-27.0,10.0,0.0
274,39.0,-33.0,-27.0,11.0,0.0
275,41.0,-33.0,-30.0,12.0,0.0
276,40.0,-33.0,-33.0,10.0,0.0
277,40.0,-34.0,-31.0,10.0,0.0
278,40.0,-34.0,-31.0,11.0,0.0
279,41.0,-34.0,-34.0,11.0,0.0
280,41.0,-35.0,-34.0,10.0,0.0
281,41.0,-35.0,-33.0,10.0,0.0
282,42.0,-35.0,-31.0,10.0,0.0
283,43.0,-34.0,-29.0,10.0,0.0
284,42.0,-34.0,-29.0,11.0,0.0
285,40.0,-37.0,-30.0,11.0,0.0
286,35.0,-39.0,-33.0,14.0,0.0
287,33.0,-40.0,-34.0,16.0,0.0
288,30.0,-41.0,-35.0,16.0,0.0
289,28.0,-43.0,-39.0,14.0,0.0
290,29.0,-42.0,-34.0,14.0,0.0
291,31.0,-42.0,-34.0,13.0,0.0
292,32.0,-42.0,-34.0,12.0,0.0
293,33.0,-41.0,-34.0,12.0,0.0
294,32.0,-41.0,-34.0,14.0,0.0
295,29.0,-42.0,-36.0,16.0,0.0
296,28.0,-45.0,-37.0,14.0,0.0
297,28.0,-44.0,-33.0,15.0,0.0
298,29.0,-44.0,-30.0,14.0,0.0
299,31.0,-44.0,-29.0,12.0,0.0
300,34.0,-43.0,-26.0,10.0,0.0
301,37.0,-41.0,-24.0,9.0,0.0
302,39.0,-42.0,-24.0,7.0,0.0
303,42.0,-40.0,-23.0,7.0,0.0
304,41.0,-39.0,-21.0,8.0,0.0
305,40.0,-40.0,-22.0,9.0,0.0
306,41.0,-38.0,-19.0,9.0,0.0
307,48.0,-32.0,-14.0,9.0,0.0
308,52.0,-26.0,-13.0,13.0,0.0
309,56.0,-23.0,-14.0,16.0,0.0
310,56.0,-24.0,-14.0,16.0,0.0
311,59.0,-24.0,-17.0,16.0,0.0
312,59.0,-17.0,-27.0,17.0,0.0
313,63.0,-19.0,-21.0,18.0,0.0
314,66.0,-23.0,-19.0,14.0,0.0
315,70.0,-22.0,-22.0,15.0,0.0
316,68.0,-20.0,-26.0,14.0,0.0
317,65.0,-21.0,-25.0,14.0,0.0
318,62.0,-18.0,-18.0,16.0,0.0
319,61.0,-21.0,-20.0,16.0,0.0
320,59.0,-23.0,-22.0,15.0,0.0
321,59.0,-24.0,-22.0,15.0,0.0
322,59.0,-26.0,-22.0,14.0,0.0
323,59.0,-26.0,-21.0,14.0,0.0
324,60.0,-26.0,-21.0,13.0,0.0
325,60.0,-28.0,-22.0,13.0,0.0
326,61.0,-27.0,-22.0,13.0,0.0
327,62.0,-25.0,-22.0,13.0,0.0
328,63.0,-24.0,-21.0,13.0,0.0
329,64.0,-23.0,-21.0,12.0,0.0
330,66.0,-22.0,-22.0,12.0,0.0
331,71.0,-16.0,-22.0,10.0,0.0
332,74.0,-15.0,-19.0,10.0,0.0
333,76.0,-15.0,-19.0,9.0,0.0
334,76.0,-14.0,-19.0,11.0,0.0
335,77.0,-16.0,-20.0,11.0,0.0
336,75.0,-16.0,-19.0,10.0,0.0
337,75.0,-15.0,-18.0,9.0,0.0
338,76.0,-13.0,-16.0,10.0,0.0
339,76.0,-13.0,-16.0,11.0,0.0
340,74.0,-13.0,-15.0,12.0,0.0
341,72.0,-18.0,-21.0,14.0,0.0
342,69.0,-23.0,-22.0,14.0,0.0
343,68.0,-25.0,-21.0,13.0,0.0
344,67.0,-25.0,-22.0,13.0,0.0
345,66.0,-25.0,-22.0,13.0,0.0
346,65.0,-28.0,-22.0,13.0,0.0
347,65.0,-30.0,-22.0,12.0,0.0
348,65.0,-31.0,-22.0,12.0,0.0
349,65.0,-31.0,-22.0,12.0,0.0
350,64.0,-32.0,-22.0,11.0,0.0
351,64.0,-32.0,-22.0,11.0,0.0
352,63.0,-31.0,-22.0,11.0,0.0
353,63.0,-32.0,-23.0,11.0,0.0
354,63.0,-32.0,-23.0,11.0,0.0
355,63.0,-32.0,-23.0,12.0,0.0
356,62.0,-32.0,-24.0,12.0,0.0
357,60.0,-34.0,-24.0,12.0,0.0
358,60.0,-34.0,-24.0,13.0,0.0
359,58.0,-35.0,-25.0,15.0,0.0
360,57.0,-34.0,-26.0,16.0,0.0
361,55.0,-35.0,-27.0,16.0,0.0
362,54.0,-35.0,-28.0,17.0,0.0
363,54.0,-36.0,-29.0,16.0,0.0
364,54.0,-35.0,-28.0,16.0,0.0
365,54.0,-35.0,-28.0,15.0,0.0
366,55.0,-36.0,-28.0,14.0,0.0
367,56.0,-36.0,-28.0,13.0,0.0
368,56.0,-36.0,-27.0,13.0,0.0
369,57.0,-36.0,-30.0,12.0,0.0
370,56.0,-36.0,-29.0,14.0,0.0
371,56.0,-36.0,-29.0,14.0,0.0
372,56.0,-34.0,-33.0,14.0,0.0
373,54.0,-36.0,-32.0,14.0,0.0
374,55.0,-35.0,-31.0,15.0,0.0
375,55.0,-36.0,-34.0,14.0,0.0
376,55.0,-35.0,-34.0,14.0,0.0
377,54.0,-35.0,-33.0,15.0,0.0
378,54.0,-35.0,-32.0,15.0,0.0
379,55.0,-34.0,-31.0,15.0,0.0
380,55.0,-35.0,-31.0,16.0,0.0
381,54.0,-35.0,-32.0,16.0,0.0
382,54.0,-35.0,-33.0,17.0,0.0
383,54.0,-35.0,-33.0,17.0,0.0
384,54.0,-35.0,-33.0,17.0,0.0
385,54.0,-35.0,-34.0,17.0,0.0
386,54.0,-35.0,-34.0,17.0,0.0
387,53.0,-35.0,-35.0,17.0,0.0
388,53.0,-35.0,-35.0,17.0,0.0
389,53.0,-35.0,-35.0,17.0,0.0
390,53.0,-35.0,-35.0,17.0,0.0
391,53.0,-35.0,-36.0,17.0,0.0
392,53.0,-34.0,-36.0,17.0,0.0
393,53.0,-34.0,-37.0,17.0,0.0
394,54.0,-34.0,-37.0,17.0,0.0
395,54.0,-34.0,-38.0,18.0,0.0
396,54.0,-34.0,-38.0,18.0,0.0
397,54.0,-33.0,-38.0,19.0,0.0
398,53.0,-33.0,-38.0,19.0,0.0
399,52.0,-34.0,-39.0,19.0,0.0
400,51.0,-36.0,-39.0,20.0,0.0
401,51.0,-38.0,-39.0,19.0,0.0
402,51.0,-39.0,-39.0,17.0,0.0
403,52.0,-39.0,-39.0,16.0,0.0
404,51.0,-40.0,-40.0,15.0,0.0
405,51.0,-40.0,-41.0,14.0,0.0
406,51.0,-40.0,-40.0,14.0,0.0
407,51.0,-40.0,-41.0,14.0,0.0
408,50.0,-40.0,-41.0,14.0,0.0
409,50.0,-40.0,-42.0,14.0,0.0
410,50.0,-39.0,-44.0,15.0,0.0
411,49.0,-39.0,-45.0,15.0,0.0
412,49.0,-40.0,-45.0,14.0,0.0
413,50.0,-40.0,-46.0,13.0,0.0
414,50.0,-38.0,-47.0,13.0,0.0
415,49.0,-38.0,-47.0,12.0,0.0
416,49.0,-38.0,-48.0,12.0,0.0
417,49.0,-37.0,-49.0,12.0,0.0
418,49.0,-37.0,-48.0,12.0,0.0
419,49.0,-37.0,-49.0,12.0,0.0
420,49.0,-38.0,-48.0,12.0,0.0
421,49.0,-38.0,-48.0,12.0,0.0
422,49.0,-38.0,-46.0,11.0,0.0
423,49.0,-38.0,-47.0,11.0,0.0
424,49.0,-38.0,-47.0,11.0,0.0
425,49.0,-38.0,-47.0,11.0,0.0
426,49.0,-39.0,-48.0,10.0,0.0
427,49.0,-38.0,-48.0,10.0,0.0
428,50.0,-38.0,-48.0,10.0,0.0
429,50.0,-38.0,-48.0,10.0,0.0
430,49.0,-38.0,-48.0,10.0,0.0
431,49.0,-38.0,-48.0,10.0,0.0
432,50.0,-39.0,-48.0,9.0,0.0
433,50.0,-38.0,-47.0,9.0,0.0
434,50.0,-38.0,-47.0,9.0,0.0
435,50.0,-38.0,-47.0,8.0,0.0
436,51.0,-39.0,-47.0,8.0,0.0
437,51.0,-38.0,-47.0,8.0,0.0
438,51.0,-38.0,-47.0,8.0,0.0
439,50.0,-38.0,-48.0,9.0,0.0
440,50.0,-37.0,-48.0,9.0,0.0
441,50.0,-37.0,-48.0,9.0,0.0
442,50.0,-37.0,-49.0,9.0,0.0
443,50.0,-37.0,-49.0,9.0,0.0
444,50.0,-36.0,-49.0,9.0,0.0
445,50.0,-36.0,-49.0,10.0,0.0
446,49.0,-36.0,-50.0,10.0,0.0
447,49.0,-37.0,-49.0,10.0,0.0
448,49.0,-37.0,-49.0,10.0,0.0
449,50.0,-37.0,-50.0,9.0,0.0
450,50.0,-37.0,-50.0,8.0,0.0
451,50.0,-37.0,-48.0,9.0,0.0
452,50.0,-38.0,-49.0,7.0,0.0
453,50.0,-36.0,-50.0,7.0,0.0
454,49.0,-36.0,-50.0,8.0,0.0
455,50.0,-36.0,-49.0,8.0,0.0
456,50.0,-36.0,-49.0,8.0,0.0
457,50.0,-36.0,-46.0,8.0,0.0
458,50.0,-37.0,-45.0,8.0,0.0
459,49.0,-38.0,-45.0,7.0,0.0
460,49.0,-38.0,-45.0,6.0,0.0
461,49.0,-38.0,-45.0,7.0,0.0
462,49.0,-39.0,-46.0,6.0,0.0
463,48.0,-40.0,-46.0,6.0,0.0
464,48.0,-40.0,-46.0,6.0,0.0
465,48.0,-40.0,-46.0,6.0,0.0
466,48.0,-40.0,-46.0,5.0,0.0
467,48.0,-40.0,-46.0,5.0,0.0
468,48.0,-40.0,-46.0,5.0,0.0
469,48.0,-40.0,-46.0,5.0,0.0
470,48.0,-40.0,-46.0,6.0,0.0
471,48.0,-40.0,-47.0,6.0,0.0
472,47.0,-41.0,-47.0,6.0,0.0
473,47.0,-41.0,-47.0,6.0,0.0
474,47.0,-41.0,-47.0,6.0,0.0
475,47.0,-41.0,-47.0,6.0,0.0
476,47.0,-41.0,-47.0,6.0,0.0
477,47.0,-40.0,-47.0,6.0,0.0
478,47.0,-41.0,-47.0,6.0,0.0
479,47.0,-41.0,-47.0,6.0,0.0
480,47.0,-41.0,-47.0,6.0,0.0
481,48.0,-40.0,-47.0,6.0,0.0
482,48.0,-40.0,-47.0,6.0,0.0
483,48.0,-41.0,-47.0,6.0,0.0
484,48.0,-41.0,-46.0,6.0,0.0
485,47.0,-41.0,-46.0,5.0,0.0
486,48.0,-41.0,-45.0,5.0,0.0
487,49.0,-41.0,-44.0,4.0,0.0
488,49.0,-42.0,-42.0,3.0,0.0
489,50.0,-45.0,-40.0,1.0,0.0
490,49.0,-46.0,-39.0,0.0,0.0
491,48.0,-45.0,-39.0,-3.0,0.0
492,52.0,-43.0,-39.0,-3.0,0.0
493,50.0,-42.0,-36.0,-2.0,0.0
494,48.0,-45.0,-30.0,-1.0,0.0
495,45.0,-48.0,-23.0,0.0,0.0
496,43.0,-52.0,-23.0,0.0,0.0
497,43.0,-50.0,-23.0,-2.0,0.0
498,42.0,-49.0,-22.0,-4.0,0.0
